,Country,Region,Gen_2019,Log_GDP_2020,Gen_2020,Log_GDP_2021,Gen_2021,Log_GDP_2019,Pop_2020
91,Ivory Coast,Sub-Saharan Africa,0.154,8.225561142,-0.043991156,8.551,-0.016,8.56374454498291,
92,Nepal,South Asia,0.285,7.925357342,0.154168829,8.12,0.152,8.136457443237305,29136808.0
93,Jordan,Middle East and North Africa,0.11,9.025999069,-0.162565202,9.182,-0.167,9.20090103149414,10203140.0
94,Benin,Sub-Saharan Africa,0.175,7.674319744,-0.003537213,8.087,-0.034,8.097825050354004,12123198.0
95,Congo (Brazzaville),Sub-Saharan Africa,0.105,8.536987305,-0.123674095,8.117,-0.068,8.101092338562012,
96,Gabon,Sub-Saharan Africa,0.043,9.680537224,-0.222261623,9.603,-0.2,9.607087135314941,2225728.0
97,Laos,Southeast Asia,0.266,8.79858017,0.11137148,8.947,0.123,8.965256690979004,
98,South Africa,Sub-Saharan Africa,0.13,9.403370857,-0.109777324,9.403,-0.067,9.432027816772461,59308690.0
99,Albania,Central and Eastern Europe,0.178,9.417930603,-0.042309489,9.52,-0.03,9.544079780578613,2837743.0
100,Venezuela,Latin America and Caribbean,0.064,8.977793694,-0.169090509,9.073,-0.169,,
101,Cambodia,Southeast Asia,0.232,8.249890327,0.051911179,8.36,0.034,8.386811256408691,16718971.0
102,Palestinian Territories,Middle East and North Africa,0.103,8.389223099,-0.162079096,8.485,-0.163,,
103,Senegal,Sub-Saharan Africa,0.153,8.118982315,-0.052335154,8.118,-0.046,8.130020141601562,16743930.0
104,Namibia,Sub-Saharan Africa,0.07,9.203141212,-0.18530646,9.161,-0.149,9.173383712768555,2540916.0
105,Niger,Sub-Saharan Africa,0.188,6.842166901,0.013860817,7.098,0.018,7.105849266052246,24206636.0
106,Burkina Faso,Sub-Saharan Africa,0.177,7.46854496,-0.019080516,7.678,-0.009,7.691488265991211,20903278.0
107,Armenia,Commonwealth of Independent States,0.095,9.100476265,-0.13877961,9.487,-0.168,9.521769523620605,2963234.0
108,Iran,Middle East and North Africa,0.27,9.813719749,0.117891103,9.584,0.218,,
109,Guinea,Sub-Saharan Africa,0.207,7.750990391,0.076328471,7.838,0.095,7.849340438842773,13132792.0
110,Georgia,Commonwealth of Independent States,0.043,9.226100922,-0.22892037,9.585,-0.238,9.6167573928833,3714000.0
111,Gambia,Sub-Saharan Africa,0.269,7.321814537,0.343198717,7.686,0.424,7.699349880218506,
112,Kenya,Sub-Saharan Africa,0.372,8.02977562,0.294681519,8.361,0.287,8.373292922973633,53771300.0
113,Mauritania,Sub-Saharan Africa,0.106,8.233919144,-0.106008142,8.542,-0.106,8.555842399597168,4649660.0
114,Mozambique,Sub-Saharan Africa,0.197,7.069345951,0.032375868,7.158,0.061,7.154966831207275,31255435.0
115,Tunisia,Middle East and North Africa,0.059,9.314972878,-0.216413811,9.266,-0.201,9.283180236816406,11818618.0
116,Bangladesh,South Asia,0.166,8.287063599,-0.033664726,8.454,-0.041,8.466684341430664,164689383.0
117,Iraq,Middle East and North Africa,0.148,9.661095619,-0.06956476,9.24,-0.053,,40222503.0
118,Mali,Sub-Saharan Africa,0.153,7.629852295,-0.044366926,7.744,-0.036,7.752494812011719,20250834.0
119,Sierra Leone,Sub-Saharan Africa,0.252,7.26880312,0.088660747,7.434,0.084,7.449131965637207,7976985.0
120,Sri Lanka,South Asia,0.244,9.389969826,0.081129618,9.47,0.079,9.478693962097168,21919000.0
121,Myanmar,Southeast Asia,0.566,8.680481911,0.560663998,8.541,0.509,8.54522705078125,54409794.0
122,Chad,Sub-Saharan Africa,0.198,7.467963696,0.017834719,7.364,0.041,7.364943981170654,16425859.0
